# Frequency [GHz]	SKA1-Mid  Dish Aeff/Tsys [m2/K]		SKA1-Mid Array Aeff/Tsys [m2/K]
0.3508	2.208	293.7
0.3673	2.424	322.3
0.3846	2.648	352.2
0.4027	2.879	382.9
0.4217	3.114	414.2
0.4416	3.353	445.9
0.4624	3.594	478.1
0.4842	3.837	510.4
0.507	4.078	542.4
0.5309	4.316	574
0.5559	4.55	605.1
0.5821	4.779	877.1
0.6095	5	918.2
0.6383	5.209	957.4
0.6683	5.404	994.4
0.6998	5.581	1029
0.7328	5.737	1060
0.7674	5.869	1088
0.8035	5.971	1112
0.8414	6.037	1130
0.881	6.072	1144
0.9226	6.071	1124
0.9661	9.324	1567
1.012	9.47	1597
1.059	9.59	1623
1.109	9.698	1647
1.161	9.796	1671
1.216	9.883	1693
1.274	9.961	1713
1.334	10.03	1733
1.396	10.09	1751
1.462	10.15	1767
1.531	10.2	1781
1.603	10.2	1792
1.679	10.28	1799
1.758	10.31	1804
1.841	10.34	1810
1.928	10.37	1814
2.018	10.39	1818
2.113	10.41	1821
2.213	10.42	1824
2.317	10.44	1826
2.427	10.45	1828
2.541	10.46	1829
2.661	10.46	1830
2.786	10.47	1831
2.917	10.46	1830
3.055	10.46	1392
3.199	10.46	1392
3.35	10.46	1392
3.508	10.46	1391
3.673	10.46	1391
3.846	10.45	1390
4.027	10.45	1390
4.217	10.44	1389
4.416	10.43	1388
4.624	10.36	1378
4.842	10.25	1363
5.07	10.13	1348
5.309	10.01	1332
5.559	9.891	1315
5.821	9.764	1299
6.095	9.633	1281
6.383	9.5	1263
6.683	9.362	1245
6.998	9.222	1226
7.328	9.078	1207
7.674	8.931	1188
8.035	8.78	1168
8.414	8.617	1146
8.81	8.461	1125
9.226	8.299	1104
9.661	8.138	1082
10.12	7.97	1060
10.59	7.801	1038
11.09	7.617	1013
11.61	7.446	990.3
12.16	7.267	966.5
12.74	7.084	942.2
13.34	6.89	916.4
13.96	6.7	891.1
14.62	6.497	864.1
15.31	6.295	837.3
16.03	6.078	808.4
16.79	5.85	778
17.58	5.597	744.4
18.41	5.317	707.2
19.28	4.985	663
20.18	4.564	607
21.13	4.043	537.7
22.13	3.587	477.1
23.17	3.574	475.3
24.27	3.726	495.6
25.41	3.791	504.3
26.61	3.751	498.9
27.86	3.648	485.2
29.17	3.507	466.4
30.55	3.337	443.9
31.99	3.163	420.6
33.5	2.971	395.1
35.08	2.77	368.4
36.73	2.562	340.8
38.46	2.348	312.2
40.27	2.122	282.2
42.17	1.883	250.4
44.16	1.626	216.2
46.24	1.345	178.9
48.42	1.027	136.6
